#dex   Species   L   HP   Attack  Def.   Speed Sp.Atk Sp.Def
---- ----------- - ------ ------ ------ ------ ------ ------
#001 Bulbasaur   * 31/160 31/160 31/168 31/168 31/160 31/160
#002 Ivysaur     * 31/104 31/112 31/104 31/112 31/104 31/104
#003 Venusaur      31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#004 Charmander  * 31/160 31/160 31/168 31/168 31/160 31/160
#005 Charmeleon  * 31/104 31/112 31/104 31/112 31/104 31/104
#006 Charizard     31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#007 Squirtle    * 31/160 31/160 31/168 31/168 31/160 31/160
#008 Wartortle   * 31/104 31/112 31/104 31/112 31/104 31/104
#009 Blastoise     31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#010 Caterpie    * 31/212 31/212 31/212 31/220 31/228 31/228
#011 Metapod     * 31/212 31/212 31/212 31/220 31/228 31/228
#012 Butterfree  * 31/132 31/140 31/132 31/132 31/132 31/132
#013 Weedle      * 31/212 31/212 31/212 31/220 31/228 31/228
#014 Kakuna      * 31/212 31/212 31/212 31/220 31/228 31/228
#015 Beedrill    * 31/132 31/140 31/132 31/132 31/132 31/132
#016 Pidgey      * 31/188 31/188 31/196 31/188 31/188 31/188
#017 Pidgeotto   * 31/160 31/160 31/168 31/168 31/160 31/160
#018 Pidgeot       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#019 Rattata     * 31/188 31/188 31/196 31/188 31/188 31/188
#020 Raticate    * 31/104 31/112 31/104 31/112 31/104 31/104
#021 Spearow     * 31/188 31/188 31/196 31/188 31/188 31/188
#022 Fearow      * 31/104 31/112 31/104 31/112 31/104 31/104
#023 Ekans       * 31/188 31/188 31/196 31/188 31/188 31/188
#024 Arbok       * 31/104 31/112 31/104 31/112 31/104 31/104
#025 Pikachu     * 31/160 31/160 31/168 31/168 31/160 31/160
#026 Raichu        31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#027 Sandshrew   * 31/160 31/160 31/168 31/168 31/160 31/160
#028 Sandslash     31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#029 Nidoran (F) * 31/188 31/188 31/196 31/188 31/188 31/188
#030 Nidorina    * 31/132 31/140 31/132 31/132 31/132 31/132
#031 Nidoqueen     31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#032 Nidoran (M) * 31/188 31/188 31/196 31/188 31/188 31/188
#033 Nidorino    * 31/132 31/140 31/132 31/132 31/132 31/132
#034 Nidoking      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#035 Clefairy    * 31/160 31/160 31/168 31/168 31/160 31/160
#036 Clefable      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#037 Vulpix      * 31/188 31/188 31/196 31/188 31/188 31/188
#038 Ninetales     31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#039 Jigglypuff  * 31/188 31/188 31/196 31/188 31/188 31/188
#040 Wigglytuff  * 31/104 31/112 31/104 31/112 31/104 31/104
#041 Zubat       * 31/212 31/212 31/212 31/220 31/228 31/228
#042 Golbat        31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#043 Oddish      * 31/160 31/160 31/168 31/168 31/160 31/160
#044 Gloom       * 31/132 31/140 31/132 31/132 31/132 31/132
#045 Vileplume     31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#046 Paras       * 31/188 31/188 31/196 31/188 31/188 31/188
#047 Parasect    * 31/104 31/112 31/104 31/112 31/104 31/104
#048 Venonat     * 31/160 31/160 31/168 31/168 31/160 31/160
#049 Venomoth    * 31/ 88 31/ 96 31/ 96 31/ 88 31/ 88 31/ 88
#050 Diglett     * 31/188 31/188 31/196 31/188 31/188 31/188
#051 Dugtrio     * 31/104 31/112 31/104 31/112 31/104 31/104
#052 Meowth      * 31/188 31/188 31/196 31/188 31/188 31/188
#053 Persian     * 31/104 31/112 31/104 31/112 31/104 31/104
#054 Psyduck     * 31/160 31/160 31/168 31/168 31/160 31/160
#055 Golduck       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#056 Mankey      * 31/160 31/160 31/168 31/168 31/160 31/160
#057 Primeape      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#058 Growlithe   * 31/132 31/140 31/132 31/132 31/132 31/132
#059 Arcanine      31/ 16 31/ 16 31/ 16  0/140  0/140  0/140
#060 Poliwag     * 31/160 31/160 31/168 31/168 31/160 31/160
#061 Poliwhirl   * 31/132 31/140 31/132 31/132 31/132 31/132
#062 Poliwrath     31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#063 Abra        * 31/160 31/160 31/168 31/168 31/160 31/160
#064 Kadabra     * 31/104 31/112 31/104 31/112 31/104 31/104
#065 Alakazam      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#066 Machop      * 31/160 31/160 31/168 31/168 31/160 31/160
#067 Machoke     * 31/104 31/112 31/104 31/112 31/104 31/104
#068 Machamp       31/ 64 31/ 64 31/ 64 31/ 56 31/ 64  4/172
#069 Bellsprout  * 31/160 31/160 31/168 31/168 31/160 31/160
#070 Weepinbell  * 31/132 31/140 31/132 31/132 31/132 31/132
#071 Victreebel    31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#072 Tentacool   * 31/160 31/160 31/168 31/168 31/160 31/160
#073 Tentacruel    31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#074 Geodude     * 31/160 31/160 31/168 31/168 31/160 31/160
#075 Graveler    * 31/132 31/140 31/132 31/132 31/132 31/132
